id,year,title,venue,bibtype,gre_stem
2025.conll-1.40,2025,Do large language models solve verbal analogies like children do?,Proceedings of the 29th Conference on Computational Natural Language Learning,inproceedings,0
2025.cxgsnlp-1.16,2025,Annotating English Verb-Argument Structure via Usage-Based Analogy,Proceedings of the Second International Workshop on Construction Grammars and NLP,inproceedings,0
2025.emnlp-main.759,2025,Vision-and-Language Navigation with Analogical Textual Descriptions in LLMs,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,inproceedings,1
2025.findings-acl.1230,2025,Relevant or Random: Can LLMs Truly Perform Analogical Reasoning?,Findings of the Association for Computational Linguistics: ACL 2025,inproceedings,1
2025.findings-acl.238,2025,DeFine: Decision-Making with Analogical Reasoning over Factor Profiles,Findings of the Association for Computational Linguistics: ACL 2025,inproceedings,0
2025.findings-acl.819,2025,Can Language Models Serve as Analogy Annotators?,Findings of the Association for Computational Linguistics: ACL 2025,inproceedings,1
2025.findings-emnlp.232,2025,MetaLadder: Ascending Mathematical Solution Quality via Analogical-Problem Reasoning Transfer,Findings of the Association for Computational Linguistics: EMNLP 2025,inproceedings,1
2025.inlg-main.28,2025,From Prototypical to Relational: How LLMs Navigate Complex Analogies,Proceedings of the 18th International Natural Language Generation Conference,inproceedings,1
2025.jeptalnrecital-taln.2,2025,ALF : Un jeu de donnees d'analogies fran caises a grain fin pour l'evaluation de la connaissance lexicale des grands modeles de langue,"Actes des 32eme Conference sur le Traitement Automatique des Langues Naturelles (TALN), volume 1 : articles scientifiques originaux",inproceedings,1
2025.knowllm-1.8,2025,Can LLMs Recognize Their Own Analogical Hallucinations? Evaluating Uncertainty Estimation for Analogical Reasoning,Proceedings of the 3rd Workshop on Towards Knowledgeable Foundation Models (KnowFM),inproceedings,1
2025.naacl-long.54,2025,AnaScore: Understanding Semantic Parallelism in Proportional Analogies,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),inproceedings,1
2025.scil-1.8,2025,Is analogy enough to draw novel adjective-noun inferences?,Proceedings of the Society for Computation in Linguistics 2025,inproceedings,0
2025.semeval-1.314,2025,LA I F at SemEval-2025 Task 5: Reasoning in Embedding Space -- Fusing Analogical and Ontology-based Reasoning for Document Subject Tagging,Proceedings of the 19th International Workshop on Semantic Evaluation (SemEval-2025),inproceedings,1
2026.acl-long.1692,2026,CHAIRO: Contextual Hierarchical Analogical Induction and Reasoning Optimization for LLMs,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),inproceedings,1
2026.acl-long.633,2026,Mitigating Legal Hallucinations via Symbolic Constraints and Analogical Precedents,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),inproceedings,1
2026.acl-short.21,2026,Attention Under Attack: Analog Noise Effects and Mechanistic Vulnerabilities in Transformer Models,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),inproceedings,1
2026.bea-1.59,2026,Teaching Through Analogies: A Modular Pipeline for Educational Analogy Generation,Proceedings of the 21st Workshop on Innovative Use of NLP for Building Educational Applications (BEA 2026),inproceedings,1
2026.eacl-long.22,2026,"Analogical Structure, Minimal Contextual Cues and Contrastive Distractors: Input Design for Sample-Efficient Linguistic Rule Induction",Proceedings of the 19th Conference of the European Chapter of the Association for Computational Linguistics (Volume 1: Long Papers),inproceedings,1
2026.findings-acl.1442,2026,CARO: Chain-of-Analogy Reasoning Optimization for Robust Content Moderation,Findings of the Association for Computational Linguistics: ACL 2026,inproceedings,1
2026.lrec-1.291,2026,FrameNet Semantic Role Classification by Analogy,Proceedings of the Fifteenth Language Resources and Evaluation Conference,inproceedings,0
2026.sigdial-1.20,2026,Retrieving Responses Useful as References in Counseling via LLM-Generated Structurally Analogous Dialogues,Proceedings of the 27th Annual Meeting of the Special Interest Group on Discourse and Dialogue,inproceedings,1
2026.tacl-1.28,2026,Can Large Language Models Generalize Analogy Solving Like Children Can?,Transactions of the Association for Computational Linguistics,article,0
2026.tacl-1.32,2026,Modelling Analogies and Analogical Reasoning: Connecting Cognitive Science Theory and NLP Research,Transactions of the Association for Computational Linguistics,article,0
