id,year,title,venue,bibtype,gre_stem
W10-0912,2010,Analogical Dialogue Acts: Supporting Learning by Reading Analogies,Proceedings of the NAACL HLT 2010 First International Workshop on Formalisms and Methodology for Learning by Reading,inproceedings,0
Y10-1041,2010,Mitigating Problems in Analogy-based EBMT with SMT and vice versa: A Case Study with Named Entity Transliteration,"Proceedings of the 24th Pacific Asia Conference on Language, Information and Computation",inproceedings,0
2011.jeptalnrecital-long.25,2011,Structure des trigrammes inconnus et lissage par analogie (Structure of unknown trigrams and smoothing by analogy),Actes de la 18e conference sur le Traitement Automatique des Langues Naturelles. Articles longs,inproceedings,0
2011.mtsummit-papers.39,2011,Marker-based Chunking for Analogy-based Translation of Chunks,Proceedings of Machine Translation Summit XIII: Papers,inproceedings,0
2011.tal-2.2,2011,Moranapho: un systeme multilingue d'analyse morphologique base sur l'analogie formelle [Moranapho: a multilingual system for morphological analysis based on formal analogy],Traitement Automatique des Langues,article,0
R11-1048,2011,Morphological Analysis of Biomedical Terminology with Analogy-Based Alignment,Proceedings of the International Conference Recent Advances in Natural Language Processing 2011,inproceedings,0
Y11-1061,2011,Fully-Automatic Marker-based Chunking in 11 European Languages and Counts of the Number of Analogies between Chunks,"Proceedings of the 25th Pacific Asia Conference on Language, Information and Computation",inproceedings,0
Y12-1026,2012,Predicting Answer Location Using Shallow Semantic Analogical Reasoning in a Factoid Question Answering System,"Proceedings of the 26th Pacific Asia Conference on Language, Information, and Computation",inproceedings,0
P13-2120,2013,Mapping Source to Target Strings without Alignment by Analogical Learning: A Case Study with Transliteration,Proceedings of the 51st Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),inproceedings,0
P13-3004,2013,Detecting Metaphor by Contextual Analogy,51st Annual Meeting of the Association for Computational Linguistics Proceedings of the Student Research Workshop,inproceedings,0
Q13-1029,2013,Distributional Semantics Beyond Words: Supervised Learning of Analogy and Paraphrase,Transactions of the Association for Computational Linguistics,article,1
C14-1043,2014,Fourteen Light Tasks for comparing Analogical and Phrase-based Machine Translation,"Proceedings of COLING 2014, the 25th International Conference on Computational Linguistics: Technical Papers",inproceedings,0
E14-1059,2014,Discriminating Rhetorical Analogies in Social Media,Proceedings of the 14th Conference of the European Chapter of the Association for Computational Linguistics,inproceedings,0
F14-1013,2014,Analogy-based Text Normalization : the case of unknowns words (Normalisation de textes par analogie: le cas des mots inconnus) [in French],Proceedings of TALN 2014 (Volume 1: Long Papers),inproceedings,0
F14-4009,2014,Merging structures of lexical derivations by analogical reasoning (Regroupement de structures de derivations lexicales par raisonnement analogique) [in French],Proceedings of TALN 2014 (Volume 4: RECITAL - Student Research Workshop),inproceedings,0
W14-2807,2014,"Rules, Analogy, and Social Factors Codetermine Past-tense Formation Patterns in English",Proceedings of the 2014 Joint Meeting of SIGMORPHON and SIGFSM,inproceedings,0
D15-1291,2015,Syntactic Dependencies and Distributed Word Representations for Analogy Detection and Mining,Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing,inproceedings,0
W15-5703,2015,Splitting Compounds by Semantic Analogy,Proceedings of the 1st Deep Machine Translation Workshop,inproceedings,0
W15-5907,2015,Word Sense Disambiguation in Hindi Language Using Hyperspace Analogue to Language and Fuzzy C-Means Clustering,Proceedings of the 12th International Conference on Natural Language Processing,inproceedings,0
Y15-1003,2015,Translation of Unseen Bigrams by Analogy Using an SVM Classifier,"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation",inproceedings,0
Y15-2018,2015,Chinese Word Segmentation based on analogy and majority voting,"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation: Posters",inproceedings,0
2016.jeptalnrecital-long.9,2016,Evaluation de l'apprentissage incremental par analogie (Incremental Learning From Scratch Using Analogical Reasoning ),Actes de la conference conjointe JEP-TALN-RECITAL 2016. volume 2 : TALN (Articles longs),inproceedings,1
C16-1332,2016,"Word Embeddings, Analogies, and Machine Learning: Beyond king - man + woman = queen","Proceedings of COLING 2016, the 26th International Conference on Computational Linguistics: Technical Papers",inproceedings,1
N16-2002,2016,Analogy-based detection of morphological and semantic relations with word embeddings: what works and what doesn't.,Proceedings of the NAACL Student Research Workshop,inproceedings,0
W16-2503,2016,Issues in evaluating semantic spaces using word analogies,Proceedings of the 1st Workshop on Evaluating Vector-Space Representations for NLP,inproceedings,1
W16-6627,2016,The aNALoGuE Challenge: Non Aligned Language GEneration,Proceedings of the 9th International Natural Language Generation conference,inproceedings,1
D17-1311,2017,Analogs of Linguistic Structure in Deep Representations,Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing,inproceedings,0
P17-2071,2017,Temporal Word Analogies: Identifying Lexical Replacement with Diachronic Word Embeddings,Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),inproceedings,0
S17-1001,2017,What Analogies Reveal about Word Vectors and their Compositionality,Proceedings of the 6th Joint Conference on Lexical and Computational Semantics (*SEM 2017),inproceedings,0
S17-1017,2017,The (too Many) Problems of Analogical Reasoning with Word Vectors,Proceedings of the 6th Joint Conference on Lexical and Computational Semantics (*SEM 2017),inproceedings,0
W17-2303,2017,Insights into Analogy Completion from the Biomedical Domain,Proceedings of the 16th BioNLP Workshop,inproceedings,1
W17-5302,2017,Traversal-Free Word Vector Evaluation in Analogy Space,Proceedings of the 2nd Workshop on Evaluating Vector Space Representations for NLP,inproceedings,1
W17-6615,2017,Portuguese Word Embeddings: Evaluating on Word Analogies and Natural Language Tasks,Proceedings of the 11th Brazilian Symposium in Information and Human Language Technology,inproceedings,1
C18-1211,2018,Why does PairDiff work? - A Mathematical Analysis of Bilinear Relational Compositional Operators for Analogy Detection,Proceedings of the 27th International Conference on Computational Linguistics,inproceedings,1
D18-1008,2018,Textual Analogy Parsing: What's Shared and What's Compared among Analogous Facts,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing,inproceedings,1
L18-1171,2018,Tools for The Production of Analogical Grids and a Resource of N-gram Analogical Grids in 11 Languages,Proceedings of the Eleventh International Conference on Language Resources and Evaluation (LREC 2018),inproceedings,0
L18-1320,2018,MGAD: Multilingual Generation of Analogy Datasets,Proceedings of the Eleventh International Conference on Language Resources and Evaluation (LREC 2018),inproceedings,1
L18-1406,2018,Can Domain Adaptation be Handled as Analogies?,Proceedings of the Eleventh International Conference on Language Resources and Evaluation (LREC 2018),inproceedings,0
N18-2024,2018,Analogies in Complex Verb Meaning Shifts: the Effect of Affect in Semantic Similarity Models,"Proceedings of the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 2 (Short Papers)",inproceedings,0
N18-2039,2018,The Word Analogy Testing Caveat,"Proceedings of the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 2 (Short Papers)",inproceedings,1
P18-2023,2018,Analogical Reasoning on Chinese Morphological and Semantic Relations,Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),inproceedings,1
U18-1004,2018,Unsupervised Mining of Analogical Frames by Constraint Satisfaction,Proceedings of the Australasian Language Technology Association Workshop 2018,inproceedings,0
W18-0314,2018,Sound Analogies with Phoneme Embeddings,Proceedings of the Society for Computation in Linguistics (SCiL) 2018,inproceedings,0
W18-4004,2018,"Transferred Embeddings for Igbo Similarity, Analogy, and Diacritic Restoration Tasks",Proceedings of the Third Workshop on Semantic Deep Learning,inproceedings,1
W18-4501,2018,Learning Diachronic Analogies to Analyze Concept Change,"Proceedings of the Second Joint SIGHUM Workshop on Computational Linguistics for Cultural Heritage, Social Sciences, Humanities and Literature",inproceedings,1
Y18-1096,2018,Context Encoder for Analogies on Strings,"Proceedings of the 32nd Pacific Asia Conference on Language, Information and Computation",inproceedings,0
K19-1085,2019,Learning Analogy-Preserving Sentence Embeddings for Answer Selection,Proceedings of the 23rd Conference on Computational Natural Language Learning (CoNLL),inproceedings,1
N19-1327,2019,Learning Relational Representations by Analogy using Hierarchical Siamese Networks,"Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers)",inproceedings,1
