doi,type,year,source,title
10.18653/v1/2024.findings-emnlp.901,inproceedings,2024.0,Findings of the Association for Computational Linguistics: EMNLP 2024,Beyond Perplexity: Multi-dimensional Safety Evaluation of {LLM} Compression
10.18653/v1/2024.findings-emnlp.934,inproceedings,2024.0,Findings of the Association for Computational Linguistics: EMNLP 2024,Grounding Partially-Defined Events in Multimodal Data
10.18653/v1/2024.figlang-1.8,inproceedings,2024.0,Proceedings of the 4th Workshop on Figurative Language Processing (FigLang 2024),Evaluating the Development of Linguistic Metaphor Annotation in {M}exican {S}panish Popular Science Tweets
10.18653/v1/2024.figlang-1.11,inproceedings,2024.0,Proceedings of the 4th Workshop on Figurative Language Processing (FigLang 2024),An Expectation-Realization Model for Metaphor Detection
10.18653/v1/2024.figlang-1.13,inproceedings,2024.0,Proceedings of the 4th Workshop on Figurative Language Processing (FigLang 2024),{F}ig{CLIP}: A Generative Multimodal Model with Bidirectional Cross-attention for Understanding Figurative Language via Visual Entailment
10.18653/v1/2024.emnlp-main.51,inproceedings,2024.0,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,In-context Contrastive Learning for Event Causality Identification
10.18653/v1/2024.emnlp-main.346,inproceedings,2024.0,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,Boosting Scientific Concepts Understanding: Can Analogy from Teacher Models Empower Student Models?
10.18653/v1/2024.emnlp-main.634,inproceedings,2024.0,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,{MMTE}: Corpus and Metrics for Evaluating Machine Translation Quality of Metaphorical Language
10.18653/v1/2024.emnlp-main.1028,inproceedings,2024.0,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,{GOME}: Grounding-based Metaphor Binding With Conceptual Elaboration For Figurative Language Illustration
10.18653/v1/2024.emnlp-main.1246,inproceedings,2024.0,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,{S}im{LLM}: Detecting Sentences Generated by Large Language Models Using Similarity between the Generation and its Re-generation
10.18653/v1/2024.emnlp-main.1258,inproceedings,2024.0,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,Rethinking Pragmatics in Large Language Models: Towards Open-Ended Evaluation and Preference Tuning
,inproceedings,2024.0,Proceedings of the 18th Conference of the European Chapter of the Association for Computational Linguistics (Volume 1: Long Papers),{A}na{DE}1.0: A Novel Data Set for Benchmarking Analogy Detection and Extraction
,inproceedings,2024.0,Proceedings of the 4th Workshop on Computational Linguistics for the Political and Social Sciences: Long and short papers,{TPPMI} - a Temporal Positive Pointwise Mutual Information Embedding of Words
10.18653/v1/2024.conll-1.2,inproceedings,2024.0,Proceedings of the 28th Conference on Computational Natural Language Learning,Investigating large language models for their competence in extracting grammatically sound sentences from transcribed noisy utterances
10.18653/v1/2024.conll-1.28,inproceedings,2024.0,Proceedings of the 28th Conference on Computational Natural Language Learning,How Are Metaphors Processed by Language Models? The Case of Analogies
,inproceedings,2024.0,Proceedings of the Workshop on Cognitive Aspects of the Lexicon @ LREC-COLING 2024,Representing Abstract Concepts with Images: An Investigation with Large Language Models
,inproceedings,2024.0,Proceedings of the 10th Italian Conference on Computational Linguistics (CLiC-it 2024),Multimodal Chain-of-Thought Prompting for Metaphor Generation
10.1162/coli_a_00512,article,2024.0,Computational Linguistics,A Novel Alignment-based Approach for {PARSEVAL} Measures
,inproceedings,2024.0,Proceedings of the 16th Conference of the Association for Machine Translation in the Americas (Volume 1: Research Track),Evaluation Briefs: Drawing on Translation Studies for Human Evaluation of {MT}
10.18653/v1/2024.acl-long.53,inproceedings,2024.0,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Prompt Refinement with Image Pivot for Text-to-Image Generation
10.18653/v1/2024.acl-long.68,inproceedings,2024.0,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),{ANALOGYKB}: Unlocking Analogical Reasoning of Language Models with A Million-scale Knowledge Base
10.18653/v1/2024.acl-long.193,inproceedings,2024.0,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Metaphor Understanding Challenge Dataset for {LLM}s
10.18653/v1/2024.acl-long.825,inproceedings,2024.0,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Iterative Forward Tuning Boosts In-Context Learning in Language Models
10.18653/v1/2024.acl-long.844,inproceedings,2024.0,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Reasoning in Conversation: Solving Subjective Tasks through Dialogue Simulation for Large Language Models
10.18653/v1/2023.unlp-1.3,inproceedings,2023.0,Proceedings of the Second Ukrainian Natural Language Processing Workshop (UNLP),Learning Word Embeddings for {U}krainian: A Comparative Study of {F}ast{T}ext Hyperparameters
10.1162/tacl_a_00538,article,2023.0,Transactions of the Association for Computational Linguistics,Domain-Specific Word Embeddings with Structure Prediction
10.1162/tacl_a_00567,article,2023.0,Transactions of the Association for Computational Linguistics,How Much Do Language Models Copy From Their Training Data? Evaluating Linguistic Novelty in Text Generation Using {RAVEN}
10.1162/tacl_a_00572,article,2023.0,Transactions of the Association for Computational Linguistics,{C}hinese Idiom Paraphrasing
10.18653/v1/2023.starsem-1.25,inproceedings,2023.0,Proceedings of the 12th Joint Conference on Lexical and Computational Semantics (*SEM 2023),{\quotedblbase}Mann{\textquotedblleft} is to {\textquotedblleft}Donna{\textquotedblright} as「国王」is to {\guillemotleft} Reine {\guillemotright} Adapting the Analogy Task for Multilingual and Contextual Embeddings
10.18653/v1/2023.nlrse-1.10,inproceedings,2023.0,Proceedings of the 1st Workshop on Natural Language Reasoning and Structured Explanations (NLRSE),{OPT}-{R}: Exploring the Role of Explanations in Finetuning and Prompting for Reasoning Skills of Large Language Models
,inproceedings,2023.0,Proceedings of the 15th International Conference on Computational Semantics,Grounding and Distinguishing Conceptual Vocabulary Through Similarity Learning in Embodied Simulations
10.18653/v1/2023.insights-1.10,inproceedings,2023.0,Proceedings of the Fourth Workshop on Insights from Negative Results in NLP,Do not Trust the Experts - How the Lack of Standard Complicates {NLP} for Historical {I}rish
,inproceedings,2023.0,Proceedings of the 20th International Conference on Natural Language Processing (ICON),{IMAGINATOR}: Pre-Trained {I}mage+{T}ext Joint Embeddings using Word-Level Grounding of Images
10.18653/v1/2023.genbench-1.13,inproceedings,2023.0,Proceedings of the 1st GenBench Workshop on (Benchmarking) Generalisation in NLP,Blackbird Language Matrices Tasks for Generalization
10.18653/v1/2023.findings-acl.218,inproceedings,2023.0,Findings of the Association for Computational Linguistics: ACL 2023,{ANALOGICAL} - A Novel Benchmark for Long Text Analogy Evaluation in Large Language Models
10.18653/v1/2023.findings-acl.250,inproceedings,2023.0,Findings of the Association for Computational Linguistics: ACL 2023,Emergent Modularity in Pre-trained Transformers
10.18653/v1/2023.findings-acl.465,inproceedings,2023.0,Findings of the Association for Computational Linguistics: ACL 2023,{I} Spy a Metaphor: Large Language Models and Diffusion Models Co-Create Visual Metaphors
10.18653/v1/2023.findings-acl.641,inproceedings,2023.0,Findings of the Association for Computational Linguistics: ACL 2023,{N}ews{M}et : A {\textquoteleft}do it all' Dataset of Contemporary Metaphors in News Headlines
10.18653/v1/2023.findings-acl.705,inproceedings,2023.0,Findings of the Association for Computational Linguistics: ACL 2023,Learning by Analogy: Diverse Questions Generation in Math Word Problem
10.18653/v1/2023.findings-emnlp.74,inproceedings,2023.0,Findings of the Association for Computational Linguistics: EMNLP 2023,{IRFL}: Image Recognition of Figurative Language
10.18653/v1/2023.findings-emnlp.286,inproceedings,2023.0,Findings of the Association for Computational Linguistics: EMNLP 2023,Non-compositional Expression Generation Based on Curriculum Learning and Continual Learning
10.18653/v1/2023.findings-emnlp.546,inproceedings,2023.0,Findings of the Association for Computational Linguistics: EMNLP 2023,"Blackbird language matrices ({BLM}), a new task for rule-like generalization in neural networks: Can Large Language Models pass the test?"
10.18653/v1/2023.findings-emnlp.567,inproceedings,2023.0,Findings of the Association for Computational Linguistics: EMNLP 2023,Contrastive Deterministic Autoencoders For Language Modeling
10.18653/v1/2023.findings-emnlp.646,inproceedings,2023.0,Findings of the Association for Computational Linguistics: EMNLP 2023,Learning to Follow Object-Centric Image Editing Instructions Faithfully
10.18653/v1/2023.findings-emnlp.718,inproceedings,2023.0,Findings of the Association for Computational Linguistics: EMNLP 2023,Image and Text: Fighting the same Battle? Super Resolution Learning for Imbalanced Text Classification
10.18653/v1/2023.findings-emnlp.934,inproceedings,2023.0,Findings of the Association for Computational Linguistics: EMNLP 2023,Approximating {CKY} with Transformers
10.18653/v1/2023.fieldmatters-1.9,inproceedings,2023.0,Proceedings of the Second Workshop on NLP Applications to Field Linguistics,A Quest for Paradigm Coverage: The Story of {N}en
10.18653/v1/2023.emnlp-main.706,inproceedings,2023.0,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,{S}tory{A}nalogy: Deriving Story-level Analogies from Large Language Models to Unlock Analogical Understanding
10.18653/v1/2023.emnlp-main.958,inproceedings,2023.0,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,Rationale-Enhanced Language Models are Better Continual Relation Learners
10.18653/v1/2023.emnlp-main.1022,inproceedings,2023.0,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,Can language models learn analogical reasoning? Investigating training objectives and comparisons to human performance
10.18653/v1/2023.emnlp-tutorial.6,inproceedings,2023.0,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing: Tutorial Abstracts,Creative Natural Language Generation
10.18653/v1/2023.bsnlp-1.8,inproceedings,2023.0,Proceedings of the 9th Workshop on Slavic Natural Language Processing 2023 (SlavicNLP 2023),Dispersing the clouds of doubt: can cosine similarity of word embeddings help identify relation-level metaphors in {S}lovene?
10.18653/v1/2023.arabicnlp-1.19,inproceedings,2023.0,Proceedings of ArabicNLP 2023,Performance Implications of Using Unrepresentative Corpora in {A}rabic Natural Language Processing
10.18653/v1/2023.acl-long.43,inproceedings,2023.0,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),{CLCL}: Non-compositional Expression Detection with Contrastive Learning and Curriculum Learning
10.18653/v1/2023.acl-long.58,inproceedings,2023.0,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Does {GPT}-3 Grasp Metaphors? Identifying Metaphor Mappings with Generative Language Models
10.18653/v1/2023.acl-long.68,inproceedings,2023.0,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),{T}hink{S}um: Probabilistic reasoning over sets using large language models
10.18653/v1/2023.acl-long.909,inproceedings,2023.0,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),A Neural Divide-and-Conquer Reasoning Framework for Image Retrieval from Linguistically Complex Text
