doi,type,year,source,title
https://doi.org/10.1609/aimag.v25i3.1777,article,2004.0,AI Magazine,Qualitative Spatial Reasoning about Sketch Maps
https://doi.org/10.1609/aimag.v31i2.2295,article,2010.0,AI Magazine,Computational Models of Narrative: Review of the Workshop
https://doi.org/10.1609/aimag.v32i1.2332,article,2011.0,AI Magazine,Transfer Learning through Analogy in Games
https://doi.org/10.1609/aimag.v35i1.2505,article,2014.0,AI Magazine,Using Analogy to Cluster Hand-Drawn Sketches for Sketch-Based Educational Software
https://doi.org/10.1609/aimag.v37i1.2643,article,2016.0,AI Magazine,I-athlon: Toward a Multidimensional Turing Test
https://doi.org/10.1002/0471028959.sof268,inbook,2002.0,"John Wiley & Sons, Ltd",Random Testing
https://doi.org/10.1002/0471738220.ch14,inbook,2005.0,"John Wiley & Sons, Ltd",
https://doi.org/10.1002/9780470379424.ch35,inbook,2008.0,"John Wiley & Sons, Ltd",Virtual Companions
https://doi.org/10.1002/9781119905172.ch17,inbook,2023.0,"John Wiley & Sons, Ltd",Deep Learning-Based Quantum System for Human Activity Recognition
https://doi.org/10.1002/9781394157846.ch6,inbook,2023.0,"John Wiley & Sons, Ltd",Optimization of an Amplification Algorithm
