doi,type,year,source,title
10.1145/3533271.3561772,inproceedings,2022.0,Proceedings of the Third ACM International Conference on AI in Finance,StyleTime: Style Transfer for Synthetic Time Series Generation
10.1145/1640233.1640280,inproceedings,2009.0,Proceedings of the Seventh ACM Conference on Creativity and Cognition,Fostering metaphorical creativity using computational metaphor identification
10.1145/2906151,article,2016.0,ACM Comput. Surv.,Understanding Graph-Based Trust Evaluation in Online Social Networks: Methodologies and Challenges
10.1145/3478432.3499252,inproceedings,2022.0,Proceedings of the 53rd ACM Technical Symposium on Computer Science Education V. 2,Laundry Overflow: Engaging Diverse Students in CyberSecurity using Interactive Analogies
10.1145/3626772.3657842,inproceedings,2024.0,Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval,"""In-Context Learning"" or: How I learned to stop worrying and love ""Applied Information Retrieval"""
10.1145/3434292,article,2021.0,Proc. ACM Program. Lang.,Probabilistic programming semantics for name generation
10.1145/3097983.3098130,inproceedings,2017.0,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,Visualizing Attributed Graphs via Terrain Metaphor
10.1145/2984751.2985715,inproceedings,2016.0,Adjunct Proceedings of the 29th Annual ACM Symposium on User Interface Software and Technology,An Input Switching Interface Using Carbon Copy Metaphor
10.1145/2983323.2983912,inproceedings,2016.0,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management,Evaluating Document Retrieval Methods for Resource Selection in Clustered P2P IR
10.1145/3526113.3545617,inproceedings,2022.0,Proceedings of the 35th Annual ACM Symposium on User Interface Software and Technology,"CodeToon: Story Ideation, Auto Comic Generation, and Structure Mapping for Code-Driven Storytelling"
10.1145/2396761.2396847,inproceedings,2012.0,Proceedings of the 21st ACM International Conference on Information and Knowledge Management,Metaphor: a system for related search recommendations
,article,2008.0,J. Artif. Int. Res.,Analogical Dissimilarity
10.1145/1414004.1414064,inproceedings,2008.0,Proceedings of the Second ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,An over-sampling method for analogy-based software effort estimation
10.1145/3569951.3597581,inproceedings,2023.0,Practice and Experience in Advanced Research Computing 2023: Computing for the Common Good,Machine Learning Potential Function Generation for ab initio Electronic Structure Calculations
10.1145/2020390.2020407,inproceedings,2011.0,Proceedings of the 7th International Conference on Predictive Models in Software Engineering,An empirical evaluation of outlier deletion methods for analogy-based cost estimation
10.1145/3394171.3414392,inproceedings,2020.0,Proceedings of the 28th ACM International Conference on Multimedia,GoldenRetriever: A Speech Recognition System Powered by Modern Information Retrieval
